!Valori Asplund 2009 per la fotosfera senza errori (log10(N_X/N_H)+12)
!Z/elem./val.asp/Z+N
1  H   12.00   1
2  He  10.93   4
3  Li  1.05    7
4  Be  1.38    9
5  B   2.70    11
6  C   8.43    12
7  N   7.83    14
8  O   8.69    16
9  F   4.56    19
10 Ne  7.93    20
11 Na  6.24    23
12 Mg  7.60    24
13 Al  6.45    27
14 Si  7.51    28
15 P   5.41    31
16 S   7.12    32
17 Cl  5.50    35
18 Ar  6.40    40
19 K   5.03    39
20 Ca  6.34    40
21 Sc  3.15    45
22 Ti  4.95    48
23 V   3.93    51
24 Cr  5.64    52
25 Mn  5.43    55
26 Fe  7.50    56
27 Co  4.99    59
28 Ni  6.22    58
29 Cu  4.19    63
30 Zn  4.56    64
31 Ga  3.04    69
32 Ge  3.65    74
36 Kr  3.25    84
37 Rb  2.52    85
38 Sr  2.87    88
39 Y   2.21    89
40 Zr  2.58    94
41 Nb  1.46    93
42 Mo  1.88    98
44 Ru  1.75    102
45 Rh  0.91    103
46 Pd  1.57    106
47 Ag  0.94    107
49 In  0.80    115
50 Sn  2.04    120
54 Xe  2.24    131
56 Ba  2.18    136
57 La  1.10    139
58 Ce  1.58    140
59 Pr  0.72    141
60 Nd  1.42    142
62 Sm  0.96    152
63 Eu  0.52    157
64 Gd  1.07    156
65 Tb  0.30    159
66 Dy  1.10    164
67 Ho  0.48    165
68 Er  0.92    166
69 Tm  0.10    169
70 Yb  0.84    174
71 Lu  0.10    175
72 Hf  0.85    180
74 W   0.85    184
76 Os  1.40    190
77 Ir  1.38    193
79 Au  0.92    197
81 Tl  0.90    204
82 Pb  1.75    207
90 Th  0.02    232
